PhotoURL,PhotoCaption,PhotoDescription,ShortDescription,BlogURL,PhotoCredit,BlogTitle,PublishDate,Keywords
https://teacheratsea.files.wordpress.com/2015/01/pow_cover2.jpg,"Each week, we feature a NOAA Teacher at Sea photo on our website, Facebook, and Twitter. Below are your Top Ten photo picks of 2014!","Our 2014 class of 29 teachers posted over 3,000 photos to our site. This adds to our library of 14,000 photos! All the photos are searchable and available for public use. Enjoy!<br>Check out the Photo of the Week <a href=""/TopTen/POW.html"">Year in Review</a>","Our 2014 class of 29 teachers posted over 3,000 photos to our site. This adds to our library of 14,000 photos! All the photos are searchable and available for public use. Enjoy!",http://teacheratsea.noaa.gov/TopTen/POW.html,Rob Ostheimer,Most liked NOAA Teacher at Sea Photos of the Week in 2014,1/5/2015,"photo of the week, teacher at sea, facebook, twitter"
http://teacheratsea.files.wordpress.com/2014/12/img_3943.jpg,"Chrysaora - These jellyfish consume zooplankton, and may compete with juvenile walleye pollock for food. They also have radial symmetry, similar to snowflakes!","Jellyfish are like snowflakes, they have radial symmetry and are all unique! This Chrysaora Jellyfish may compete with juvenile walleye pollock for food, therefore they are a focus of study for crew members aboard the NOAA Ship Oscar Dyson. Britta Culbertson (TAS 2013) Explores jellyfishes roles in the food web on her blog! Happy Holidays from TAS!","Chrysaora jellyfish consume zooplankton, and coud compete with juvenile walleye pollock for food.",http://teacheratsea.wordpress.com/2013/09/18/britta-culbertson-big-fish-little-fish-sept-15-2013/,Britta Culbertson,"Britta Culbertson, Big Fish Little Fish, Sept 15, 2013",12/29/2014,"Snowflake, Holidays, Jellyfish, Food webs, NOAA Ship Oscar Dyson"
http://teacheratsea.files.wordpress.com/2014/04/horse_conch_ht2_1_g0131289.jpg,"During surveys conducted from the NOAA Ship Nancy Foster, the crew's divers spotted this horse conch crawling slowly across the sand.","Divers conduct surveys from the NOAA Ship Nancy Foster, during one survey conducted while TAS 2014 Jamie Morris was aboard the ship, this horse conch was spotted making it's way across the ocean bottom",NOAA Ship Nancy Foster's dive crew spotted this horse conch crawling across the sand.,http://teacheratsea.wordpress.com/2014/04/30/jamie-morris-diving-driving-and-noaa-corps-april-28-2014/,Photo: Richard LaPalme,"Jamie Morris: Diving, Driving, and NOAA Corps, April 28, 2014",12/22/2014,"NOAA Ship Nancy Foster, UVC, Conch, Diving, surveys"
http://teacheratsea.files.wordpress.com/2013/07/sargasum-critters.jpg,Tiny fish living in the protection of floating sargassum. They camouflage well in the orange/brown of the sargassum.,"A Neutson net filters from the surface of the water column, and gathers drifiting planktonic organisms. Sargassum seaweed floats, sometimes in small clumps and sometimes in large mats, and serves as a refuge for many small cryptic fish species - and is commonly scooped up in the Neutson nets. Some of the common catch includes tiny fish that live in camouflage with sargassum that drifts at the surface.",Tiny fish living in the protection of floating sargassum.,http://teacheratsea.wordpress.com/2013/07/15/sarah-boehm-plankton-july-6-2013/,Sarah Boehm,"Sarah Boehm, Plankton, July 6, 2013",12/15/2014,"Plankton, Sargassum, Fish, Oregon II, Groundfish Cruise"
http://teacheratsea.files.wordpress.com/2014/09/ridged-slipper-lobster-scyllarides-nodifer.jpg,This tiny crustacean is a young slipper lobster. One pair of its antennae are broad and flat-- you might say they look like slippers!,"""John Galbraith is passionate about the state of the environment. When I asked why he believes what we are doing with the Autumn Trawl Survey is important, he stated that it is imperative to monitor the health of our ocean through the survey. Data about fish populations (or most environmental science) must be collected over a long period of time, and using the same method, in order to make comparisons. Is what’s happening today different than what was happening 40 years ago with our fish populations? John said, “If we didn’t know what was there 20 years ago, for example, we wouldn’t know if the population of a fish species is more or less abundant.” This is the information we are gathering for scientists to evaluate."" - Sue Zupko",Ridged Slipper Lobster (Scyllarides nodifer),http://teacheratsea.wordpress.com/2014/09/18/sue-zupko-drifters-september-18-2014/,Sue Zupko,"Sue Zupko, Drifters, September 18, 2014",12/8/2014,"Sue, Zupko, Henry, Bigelow, catch, lobster"
https://teacheratsea.files.wordpress.com/2014/10/p1000487-e1413137239582.jpg,"Tide Staff Appreciation Day: Thanks, tide staff, for helping us check the position of the water pressure-sensing equipment and ensure that our tide measurements are accurate.","""After the tidal gauge was installed, we had to confirm that the orifice hadn’t shifted. To do this, we take manual readings of the tide using a staff that the crew set-up during installation of the tidal station. To take manual (staff) observations, you just measure and record the water level every 6 minutes. If the manual (staff) observations match the readings we are getting from the tidal gauge, then the orifice is likely in the correct spot... As you can see, accounting for the tides is a complex process with multiple checks and double checks in place. These checks may seem a bit much, but a lot of shifting and movement can occur in these areas. Plus, these checks are the best way to ensure our data is accurate."" - Lauren Wilmoth","ENS Micki and LTJG Adam setting up the staff, so the surveyor can make sure it hasn’t moved.",https://teacheratsea.wordpress.com/2014/10/14/lauren-wilmoth-shore-party-october-12-2014/,Lauren Wilmoth,"Lauren Wilmoth: Shore Party, October 12, 2014",12/1/2014,"Lauren, Wilmoth, Rainier, survey, hydrographic, tide"
http://teacheratsea.files.wordpress.com/2014/08/lump-sucker.jpg,Lump Sucker caught during a Pollock Survey on the NOAA Ship Oscar Dyson.,"""This Lump Sucker was captured during a Pollock Survey on the NOAA Ship Oscar Dyson. As a defense mechanism this fish sucks in so much water that it becomes too big for most other fish to swallow when provoked!""",Lump Sucker captured during a Pollock Survey on the NOAA Ship Oscar Dyson.,http://teacheratsea.wordpress.com/2014/08/11/gregory-cook-on-sea-sickness-and-good-people-august-10th-2014/,Greg Cook,"Gregory Cook: On Sea Sickness and Good People, August 10, 2014",11/24/2014,"Greg Cook, Oscar Dyson, Fish, Lump Sucker, Polluck Survey"
http://teacheratsea.files.wordpress.com/2014/09/rov-lower-by-scott-donahue.jpg,An ROV is lowered on the NOAA Ship Nancy Foster during a survey of the Florida Keys National Marine Sanctuary,"""The long umbilical cord (the yellow cord laid out on the deck and being played out by Alejandro) is made up of fiber optics so we are very careful as we lower the ROV into the water that the cord does not get twisted."" - Amy Orchard",An ROV is lowered on the NOAA Ship Nancy Foster during a survey of the Florida Keys National Marine Sanctuary,http://teacheratsea.wordpress.com/2014/10/06/amy-orchard-day-7-8-rov-multibeam-new-scientists-more-dolphins/,Scott Donahue,"Amy Orchard: Day 7 & 8: ROV, Multibeam, New Scientists, more Dolphins",11/17/2014,"Amy Orchard, Florida Keys, Nancy Foster, ROV, National Marine Sanctuary"
https://teacheratsea.files.wordpress.com/2014/06/dive052019-12-23-132.jpg,"Underwater remotely operated vehicles exploring our marine protected areas reveal ""more colors than a box of crayons.""","""These have been my finals days aboard the Nancy Foster. We have explored so much, seen so much, yet we didn’t even scratch the surface (or should I say the bottom) of the vastness of the MPAs, the Atlantic, or any of the oceans. It has been said that the entire science community has explored less than 5% of the world’s oceans. I can relate much better to this fact after my TAS experience."" - John Bilotta","""Photo from one of the 2014 South Atlantic MPA Survey ROV dives.""",https://teacheratsea.wordpress.com/2014/06/28/john-bilotta-more-colors-than-a-box-of-crayola-crayons-coral-fish-sunsets-and-the-color-of-my-tas-experience-my-final-blog-days-10-11-june-27-2014/,NOAA/UNCW. Mohawk ROV,"John Bilotta: More Colors than a box of Crayola Crayons: Coral, Fish, Sunsets, and the Color of my TAS Experience, June 27, 2014",11/10/2014,"John, Bilotta, Pisces, ROV, underwater, coral, fish"
https://teacheratsea.files.wordpress.com/2014/04/20140413_203122.jpg,Can you name any of these crustaceans?,"""This is a picture of planktonic crustaceans we were able to look at under a microscope after a deep bongo net tow on Georges Bank slope. Two are called Amphipods and the other is a Euphausiid commonly know as krill."" - Kimberly Gogan</>",Two are called Amphipods and the other is a Euphausiid commonly know as krill.,https://teacheratsea.wordpress.com/2014/04/16/kimberly-gogan-the-creatures-that-are-always-there-but-we-never-see-april-15-2014/,Kimberly Gogan,"Kimberly Gogan: The Creatures That Are Always There but We Never See! April 15, 2014",11/3/2014,"Gogan, Kimberly, amphipods, crustaceans, krill"
